date,adj close,high,low,open,close,closebefore,change,changerat,volume,volumevalue,5ma,10ma,20ma,30ma,60ma,120ma,100ma,5max,5min,predict max,predict min,close_12_ema,close_26_ema,macd,macds,macdh,close_5_ema,close_10_ema,close_20_ema,close_30_ema,close_60_ema,close_120_ema,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,k,d,j
2002/2/1,1215.74,1215.74,1215.74,1215.74,1215.74,1221.76,-6.02,-0.4927,0,0.0,1167.3139999999999,1161.733,1195.5465,1201.304286,1201.304286,1201.304286,1201.304286,1246.84,1216.79,2.558112754,0.086367151,1178.7396704499552,1185.6366986081543,-6.897028158199191,-12.853734780283837,11.913413244169291,1187.0328618684289,1178.55059976477,1182.7680861569763,1187.1867147972675,1193.4043850272199,1197.161244139048,94.6139393397155,72.09772949893377,72.09772949893377,54.18730254015843,54.18730254015843,107.91858341648447,107.91858341648447,0.27622161873667217,0.05234128175198034,0.7239822927060559
2002/2/4,1236.97,1236.97,1236.97,1236.97,1236.97,1215.74,21.23,1.7463,0,0.0,1192.142,1174.569,1192.2910000000002,1202.925455,1202.925455,1202.925455,1202.925455,1254.61,1216.79,1.426065305,-1.631405774,1187.9311366592688,1190.2962446370161,-2.365107977747357,-10.740415878606392,16.75061580171807,1203.6807996954112,1189.3023786948222,1188.5720961142406,1191.3609941249752,1196.1527124159513,1199.3047960167107,100.0,81.39848633262251,81.39848633262251,63.25769713764645,63.25769713764645,117.68006472257464,117.68006472257464,0.3924810791577814,0.16572121422058067,0.846000809032183
2002/2/5,1246.84,1246.84,1246.84,1246.84,1246.84,1236.97,9.87,0.7979,0,0.0,1213.434,1188.254,1189.9975,1204.834783,1204.834783,1204.834783,1204.834783,1254.61,1216.79,0.6231753870000001,-2.410092714,1197.1926559277158,1195.3444590296385,1.8481968980772763,-8.207743061741612,20.111879919637776,1218.0684818083066,1199.8683459717317,1194.7384680217135,1195.9246258468183,1199.2562774809696,1201.7723071914018,100.0,87.598990888415,87.598990888415,71.37146172123596,71.37146172123596,120.05404922277307,120.05404922277307,0.46998738610518753,0.2671432715154495,0.8756756152846634
2002/2/6,1216.79,1216.79,1216.79,1216.79,1216.79,1246.84,-30.05,-2.4101,0,0.0,1227.62,1191.618,1187.2045,1205.332917,1205.332917,1205.332917,1205.332917,1256.0,1235.09,3.22241307,1.5039571330000001,1200.2633532070822,1197.2304347396853,3.0329184673969394,-5.948943878358762,17.963724691511402,1217.6422958887338,1202.970129626224,1197.0476818969296,1197.611062953535,1200.3001700441732,1202.5252242285208,77.57630027609883,84.25809401764295,84.25809401764295,75.66700582003828,75.66700582003828,101.44027041285227,101.44027041285227,0.42822617522053685,0.32083757275047853,0.6430033801606534
2002/2/7,1241.02,1241.02,1241.02,1241.02,1241.02,1216.79,24.23,1.9913,0,0.0,1231.472,1196.762,1185.1925,1206.7604,1206.7604,1206.7604,1206.7604,1256.0,1235.09,1.207071602,-0.47783275,1206.6313839572279,1201.0287245626507,5.602659394577131,-3.629861980069575,18.46504274929341,1225.4351725403214,1209.9344327294903,1201.6091711341207,1201.0632756550697,1202.6613178573737,1204.3924228120532,95.65704051936427,88.05774285155005,88.05774285155005,79.79725149720886,79.79725149720886,104.57872556023239,104.57872556023239,0.47572178564437556,0.37246564371511076,0.6822340695029048
2002/2/8,1235.09,1235.09,1235.09,1235.09,1235.09,1241.02,-5.93,-0.4778,0,0.0,1235.3419999999999,1201.328,1184.4565,1207.85,1207.85,1207.85,1207.85,1256.0,1227.23,1.6929940330000002,-0.63639087,1211.067264419593,1203.9462344906476,7.1210299289452905,-1.473165382762704,17.18839062341599,1228.653533329505,1214.5331025421024,1205.0530567693118,1203.7293210906796,1204.4954838329625,1205.835279120978,88.96299079466465,88.35949216592158,88.35949216592158,82.65133172011309,82.65133172011309,99.77581305753858,99.77581305753858,0.4794936520740197,0.40814164650141366,0.6221976632192323
2002/2/25,1254.61,1254.61,1254.61,1254.61,1254.61,1235.09,19.52,1.5805,0,0.0,1238.87,1215.506,1186.9295,1209.581852,1209.581852,1209.581852,1209.581852,1256.0,1227.23,0.110791401,-2.182351488,1217.8406088943068,1208.236146437441,9.604462456865804,0.7477299806580004,17.713464952415606,1237.305841175138,1221.8522755624804,1210.111988488313,1207.6614962515246,1207.264140848289,1208.0600075595962,100.0,92.23966144394771,92.23966144394771,85.84744162805796,85.84744162805796,105.02410107572717,105.02410107572717,0.5279957680493463,0.44809302035072457,0.6878012634465897
2002/2/26,1253.12,1253.12,1253.12,1253.12,1253.12,1254.61,-1.49,-0.1188,0,0.0,1240.126,1226.78,1190.264,1211.136786,1211.136786,1211.136786,1211.136786,1275.61,1227.23,1.794720378,-2.066043156,1223.319169683332,1211.9967860620068,11.322383621325116,2.8667595080044386,16.911248226641355,1242.577289305074,1227.5580229131872,1214.4725358157345,1211.1303494002843,1209.7418723482783,1210.0572130697692,96.16670954463594,93.54867747751044,93.54867747751044,88.41452024454212,88.41452024454212,103.8169919434471,103.8169919434471,0.5443584684688805,0.4801815030567765,0.6727123992930888
2002/2/27,1256.0,1256.0,1256.0,1256.0,1256.0,1253.12,2.88,0.2298,0,0.0,1247.968,1237.7939999999999,1192.97,1212.683793,1212.683793,1212.683793,1212.683793,1288.44,1227.23,2.582802548,-2.2906050959999997,1228.3868777300786,1215.6481782564322,12.73869947364642,4.84420745361718,15.78898404005848,1247.0515612040124,1232.744691925398,1218.657231207206,1214.5143639862943,1212.189340352978,1212.0384789493905,100.0,95.69911831834028,95.69911831834028,90.84271960247483,90.84271960247483,105.41191575007116,105.41191575007116,0.5712389789792536,0.5105339950309353,0.6926489468758895
2002/2/28,1244.6,1244.6,1244.6,1244.6,1244.6,1256,-11.4,-0.9076,0,0.0,1248.684,1240.078,1197.5925,1213.747667,1213.747667,1213.747667,1213.747667,1328.39,1227.23,6.732283465,-1.3956291180000002,1230.8979280499384,1218.0293967910313,12.868531258907069,6.451061403517022,12.834939710780095,1246.2343698742777,1234.9054517824545,1221.2570865911466,1216.758914571327,1213.8703287301141,1213.406304347426,70.92578423871441,87.44134029179833,87.44134029179833,89.70892649891599,89.70892649891599,82.906167877563,82.906167877563,0.4680167536474791,0.4963615812364498,0.4113270984695376
