date,close,high,low,open
2002/12/4,1147.54,1147.54,1147.54,1147.54
2002/12/5,1139.75,1139.75,1139.75,1139.75
2002/12/6,1139.8,1139.8,1139.8,1139.8
2002/12/9,1136.25,1136.25,1136.25,1136.25
2002/12/10,1122.91,1122.91,1122.91,1122.91
2002/12/11,1117.44,1117.44,1117.44,1117.44
2002/12/12,1122.23,1122.23,1122.23,1122.23
2002/12/13,1132.08,1132.08,1132.08,1132.08
2002/12/16,1141.52,1141.52,1141.52,1141.52
2002/12/17,1148.6,1148.6,1148.6,1148.6
2002/12/18,1143.94,1143.94,1143.94,1143.94
2002/12/19,1145.07,1145.07,1145.07,1145.07
2002/12/20,1157.34,1157.34,1157.34,1157.34
2002/12/23,1159.43,1159.43,1159.43,1159.43
2002/12/24,1159.06,1159.06,1159.06,1159.06
2002/12/25,1151.16,1151.16,1151.16,1151.16
2002/12/26,1119.36,1119.36,1119.36,1119.36
2002/12/27,1120.28,1120.28,1120.28,1120.28
2002/12/30,1108.94,1108.94,1108.94,1108.94
2002/12/31,1103.64,1103.64,1103.64,1103.64
2003/1/2,1074.98,1074.98,1074.98,1074.98
2003/1/3,1073.52,1073.52,1073.52,1073.52
2003/1/6,1084.88,1084.88,1084.88,1084.88
2003/1/7,1081.62,1081.62,1081.62,1081.62
2003/1/8,1111.83,1111.83,1111.83,1111.83
2003/1/9,1132.17,1132.17,1132.17,1132.17
2003/1/10,1121.58,1121.58,1121.58,1121.58
2003/1/13,1124.33,1124.33,1124.33,1124.33
2003/1/14,1185.87,1185.87,1185.87,1185.87
2003/1/15,1177.97,1177.97,1177.97,1177.97
2003/1/16,1196.39,1196.39,1196.39,1196.39
2003/1/17,1190.9,1190.9,1190.9,1190.9
2003/1/20,1194.72,1194.72,1194.72,1194.72
2003/1/21,1172.13,1172.13,1172.13,1172.13
2003/1/22,1174.57,1174.57,1174.57,1174.57
2003/1/23,1167.64,1167.64,1167.64,1167.64
2003/1/24,1187.69,1187.69,1187.69,1187.69
2003/1/27,1203.32,1203.32,1203.32,1203.32
2003/1/28,1206.86,1206.86,1206.86,1206.86
2003/1/29,1207.6,1207.6,1207.6,1207.6
2003/2/10,1190.46,1190.46,1190.46,1190.46
2003/2/11,1201.29,1201.29,1201.29,1201.29
2003/2/12,1214.8,1214.8,1214.8,1214.8
2003/2/13,1208.84,1208.84,1208.84,1208.84
2003/2/14,1213.7,1213.7,1213.7,1213.7
2003/2/17,1204.7,1204.7,1204.7,1204.7
2003/2/18,1204.94,1204.94,1204.94,1204.94
2003/2/19,1216.58,1216.58,1216.58,1216.58
2003/2/20,1215.15,1215.15,1215.15,1215.15
2003/2/21,1191.63,1191.63,1191.63,1191.63
2003/2/24,1192.99,1192.99,1192.99,1192.99
2003/2/25,1214.85,1214.85,1214.85,1214.85
2003/2/26,1214.4,1214.4,1214.4,1214.4
2003/2/27,1215.46,1215.46,1215.46,1215.46
2003/2/28,1213.86,1213.86,1213.86,1213.86
2003/3/3,1223.41,1223.41,1223.41,1223.41
2003/3/4,1222.38,1222.38,1222.38,1222.38
2003/3/5,1217.89,1217.89,1217.89,1217.89
2003/3/6,1202.44,1202.44,1202.44,1202.44
2003/3/7,1198.74,1198.74,1198.74,1198.74
2003/3/10,1178.15,1178.15,1178.15,1178.15
2003/3/11,1177.8,1177.8,1177.8,1177.8
2003/3/12,1182.42,1182.42,1182.42,1182.42
2003/3/13,1175.16,1175.16,1175.16,1175.16
2003/3/14,1177.61,1177.61,1177.61,1177.61
2003/3/17,1179.23,1179.23,1179.23,1179.23
2003/3/18,1173.79,1173.79,1173.79,1173.79
2003/3/19,1180.23,1180.23,1180.23,1180.23
2003/3/20,1175.86,1175.86,1175.86,1175.86
2003/3/21,1185.42,1185.42,1185.42,1185.42
2003/3/24,1187.64,1187.64,1187.64,1187.64
2003/3/25,1176.1,1176.1,1176.1,1176.1
2003/3/26,1171.2,1171.2,1171.2,1171.2
2003/3/27,1201.37,1201.37,1201.37,1201.37
2003/3/28,1199.26,1199.26,1199.26,1199.26
2003/3/31,1215.17,1215.17,1215.17,1215.17
2003/4/1,1223.56,1223.56,1223.56,1223.56
2003/4/2,1222.97,1222.97,1222.97,1222.97
